,B Cell,Epithelium,Myeloid,Stroma,T Cell,Neutrophil,rho_Spearman,rho_Pearson
CID003352-2,0.13372123568259453,0.027311414621332516,0.012866776793348559,0.42688475716329777,0.3899757672501495,0.009240048489277142,0.948992673992674,0.8039198930782623
CID003353-1,0.013663353426337581,0.7215079503191693,0.005770435290741392,0.08154739423828557,0.12612043576043833,0.051390430965027926,0.9073113819030333,0.7577977770074723
CID003354-1,0.13951208555386638,0.52211166615089,0.05574531595847044,0.19314084776279258,0.0794687861870488,0.010021298386931768,0.9164767991108641,0.8790180013577722
CID003355-1,0.14901862393102328,0.2628065931021533,0.008159297607096353,0.05643574672273427,0.4933851096254329,0.03019462901155989,0.8368855606758833,0.7091300589227248
CID003356-1,0.12291711341329482,0.08416774336315481,0.042899109870868146,0.31105825818310107,0.4325524993142509,0.006405275855330283,0.9116758241758242,0.8107868792927837
CID003357-1,0.15106362571880522,0.28527736518122404,0.12469725916964884,0.21074455649685656,0.22084967113564075,0.007367522297824567,0.8640567765567766,0.7250838519994667
CID003358-1,0.21932512976724347,0.42655720554642634,0.0013962538759003658,0.09319417838482917,0.2555517522291398,0.003975480196460882,0.9267574326201722,0.8086036449130306
CID003359-1,0.15774097585783864,0.39119515000222876,0.03130093704139934,0.298357476507894,0.10311717450860174,0.018288286082037523,0.8671400871295106,0.8242422963741421
CID003360-1,0.08421508446300546,0.18159455653936654,0.06218631609416877,0.22702859585898363,0.41194573183535094,0.03302971520912457,0.9147339528090453,0.8227501525752039
CID003361-1,0.6222257846321986,0.1953605898195756,0.03433215029575374,0.10744494948000799,0.034896099678174045,0.005740426094290019,0.913003663003663,0.7683300846660143
CID003362-1,0.13740775803121724,0.3853250043368766,0.007109345700348654,0.30958781303233734,0.1443137779303332,0.016256300968886975,0.877030976037405,0.8140368545032648
CID003363-1,0.12953257802154736,0.33033826118212145,0.000709409544931979,0.15951438180089403,0.3455397508734131,0.03436561857709217,0.9101648351648352,0.8075501431073134
CID003364-1,0.24909686442491757,0.23491927607432903,0.005066839751170279,0.11122101563458728,0.3791897323294991,0.020506271785496834,0.8933796681020373,0.7976000625454415
CID003365-1,0.18767807222942465,0.39935002617815385,0.0004763932828968392,0.1778456084740816,0.21526069855226354,0.019389201283179527,0.8541666666666666,0.8462534660787238
CID003366-1,0.17356691881756392,0.035974597169287324,0.38813144233062075,0.32048468886074694,0.07470203493150754,0.007140317890273559,0.9347964040190376,0.8452274027517627
CID003367-2,0.2866273408319691,0.010194937481534208,0.04000828599238428,0.3094632691918127,0.34534207641412823,0.008364090088171435,0.9487327188940092,0.8477335662453026
CID003368-1,0.17583042266296303,0.24716488435370712,0.0750699415819543,0.15954339389781355,0.34059658544633226,0.0017947720572297503,0.9181318681318681,0.8196827611801196
CID003369-1,0.057676566892186566,0.31262556705635863,0.05284782723309247,0.2342480572102125,0.33564741940483445,0.0069545622033153716,0.8510531135531135,0.7397461584247208
CID003370-1,0.2274572392739888,0.2875695518288313,0.027789862850541146,0.054383313665149646,0.38539457892464596,0.017405453456843162,0.9370955150965727,0.8353686558487655
CID003371-2,0.0025461516994403537,0.20190406937626482,0.009568083112033452,0.15971027557925893,0.6251299399614303,0.0011414802715721244,0.918455843469064,0.7506332504561675
CID003372-1,0.26958386802715806,0.20220671678643864,0.09144847040205448,0.16500173749486655,0.2635208028708788,0.008238404418603424,0.9139205334815227,0.7743176843548206
CID003373-1,0.0240831446869786,0.414782873929161,0.1572117503286047,0.2370941312983827,0.15376192115071693,0.013066178606156054,0.7830508474576271,0.6226695042778626
CID003374-1,0.13105831486174785,0.7951452282987012,0.0069745228495268295,0.007796944647499458,0.03995814961512853,0.019066839727396156,0.9247060008561859,0.7873720737961991
CID003375-1,0.05513430446829268,0.7550372441850063,0.011395826013028553,0.1738802128934283,0.0006535589196842888,0.003898853520559832,0.9273131425395943,0.824550354745277
CID003376-1,0.23107682398801102,0.4783321777993724,0.028606701092249418,0.19559171596656902,0.054845463509001255,0.011547117644796842,0.9187307987711213,0.8795520112946853
CID003377-1,0.04015262127325218,0.14886109800582445,0.29657623385945764,0.018680622268552726,0.436021313157253,0.05970811143565987,0.8690539145324973,0.7131961600709646
CID003378-1,0.013993316965638922,0.7945203036370913,0.11395221971431797,0.01822427017545924,0.0005877871765689359,0.05872210233092368,0.9202805376972532,0.7392263292733736
CID003379-1,0.027281529350970474,0.821291801865959,0.07156884960804913,0.011903846863671288,0.06452214909225795,0.003431823219092145,0.9503522101571873,0.7652634234231439
CID003380-1,0.15367355955803697,0.3832997386451336,0.018009578103190368,0.029305316118574423,0.41315406928545273,0.0025577382896119134,0.939512981289819,0.8515113084661208
CID003381-1,0.19154628086682693,0.22051555504099446,0.10664511714713452,0.1766293707662549,0.2923868281913363,0.012276847987452873,0.854029304029304,0.64422831673178
CID003382-1,0.36246429030002436,0.2260984995735048,0.031983054678455115,0.00917657361664246,0.36013635676513495,0.010141225066238322,0.8633241758241759,0.7707642762125392
CID003383-1,0.16240127582358932,0.3259097145734954,0.050823588122920704,0.2147326175740029,0.21787267351166917,0.028260130394322548,0.8868567588325652,0.8148846115139904
CID003384-1,0.08110436793278779,0.43458363862002136,0.06218403056223266,0.1856291433060744,0.21197869251447132,0.02452012706441246,0.9180327868852459,0.8299982469706012
CID003385-1,0.05405577776001209,0.7444210244552546,0.003637507446875749,0.18211030203513814,0.003462330069798707,0.012313058232920737,0.926125073056692,0.8137399696313683
CID003386-1,0.058556605756987574,0.0012538603926365503,0.2642924666660145,0.3047198721774217,0.19079610682135775,0.1803810881855819,0.8550502379693284,0.8117867516978535
CID003665-1,0.0046587199140908754,0.738002289328801,0.009721327623812111,0.07104469165810329,0.16447856968444913,0.012094401790743675,0.802371351766513,0.7018587779319989
CID003666-1,0.0021852375174621777,0.7923452017894381,0.00019255456267780008,0.20305258473107593,0.00019083162165426342,0.0020335897776917085,0.93803834398444,0.8356094603484012
CID003667-1,0.029356979249086083,0.021619130677298717,0.18216317657570927,0.36295789575481674,0.3216884717726185,0.08221434597047057,0.9101382488479263,0.7779934044613269
CID003669-1,0.04224944684551767,0.04333925755460464,0.4223342204624257,0.3567911422180634,0.13392478894557805,0.001361143973810532,0.8983153282465816,0.7890022743976303
CID003670-1,0.19419529749887043,0.04596752593719117,0.14586976222938086,0.3222090232982254,0.2902195626460655,0.001538828390266495,0.8857243584900908,0.7876072554315396
CID003671-1,0.18819656981020433,0.0010609516150162362,0.3594953827389446,0.34049941124739647,0.08887785805072194,0.02186982653771644,0.9152375915993051,0.8126917532113359
CID003672-1,0.19317229559865545,0.11164455028451828,0.004932805777474478,0.3364906874735912,0.35368296403098326,7.669683477731784e-05,0.9251152073732719,0.7807737965394967
CID003673-1,0.3639223423957415,0.45465071830498915,0.049140836378705546,0.11810193821980401,0.013489941500606815,0.0006942232001530159,0.9206989247311828,0.806546686403954
CID003674-1,0.04597892700509942,0.20701932655523847,0.013097754466388408,0.1756296990788476,0.5578388815321982,0.00043541136222788676,0.9166666666666666,0.7895582252431118
CID003675-1,0.5122737977314757,0.31755074788006876,0.024262660943497813,0.12320968131580812,0.017567004137487494,0.0051361079916620676,0.886677535451721,0.7679697842989267
CID003676-2,0.3226033983706076,0.39354794147141337,0.015284937419073706,0.23515327780627088,0.0024215235021285333,0.030988921430506033,0.9296703296703297,0.8325837764709375
CID003677-1,0.2671279516553539,0.2526107153139639,0.014361043260520632,0.0642755531634895,0.40051459395893924,0.0011101426477327556,0.8476190476190476,0.7138624958382228
CID003678-1,0.0292099362456193,0.5661649425681077,0.09422799027546865,0.03393394129556601,0.2443866608723437,0.032076528742894614,0.9253305129561078,0.8178168674368433
CID003679-1,0.15859390530339043,0.2851683291444772,0.04086402681390933,0.09615478024262393,0.4171605097474511,0.0020584487481479937,0.929441391941392,0.7735946646984619
CID003680-1,0.02896419031159142,0.400440467770274,0.001632739666844517,0.17808889371444891,0.3822533187285237,0.008620389808317527,0.82785626148926,0.7298685408917649
CID003681-1,0.22449944716130088,0.7107758436008296,0.00032444358899512556,0.03502915980842877,0.025837324457622067,0.0035337813828236024,0.9092032967032967,0.7943461327293005
CID003682-1,0.06052774830280733,0.7694269204834782,0.04553388374414897,0.011887751698173027,0.0818364714267892,0.030787224344603334,0.9178842781998832,0.7764986521374334
CID003683-1,0.002614157293361952,0.7545326988382346,0.0002756166489126102,0.18316889512013768,0.05645259339344765,0.0029560387059055044,0.9030841900527925,0.8236309930610916
CID004696-1,0.27114682265296136,0.21356040525586048,0.03185021671058753,0.16956277218676277,0.2723983114882016,0.0414814717056262,0.9005494505494506,0.7444560271439256
CID004697-1,0.30935668551642426,0.05379909591163357,0.013209288004552606,0.3017137538218214,0.3069895986101598,0.01493157813540838,0.920054945054945,0.8140106564177774
CID004698-1,0.22335674012962128,0.19688839363032612,0.12335940884633836,0.22273090653298164,0.2189576624343581,0.014706888426374588,0.9053571428571429,0.7198397500981105
CID004699-1,0.2796502441634428,0.2865362737225294,0.004900938684186962,0.1950937260492274,0.2163556810039275,0.017463136376685954,0.9287149656266527,0.8150434123742956
CID004700-1,0.15849536541102446,0.3890439416122697,0.0255241173758527,0.2965217650882516,0.10753885319886586,0.022875957313735717,0.8743279569892471,0.8197788335932161
CID004701-1,0.34426214694298407,0.16130447156331423,0.01671686568336589,0.4187657265465272,0.05526099672591408,0.003689792537894543,0.9232827832292596,0.8395393792815605
CID004702-1,0.02379989696265189,0.5085774844470079,0.011326826335915656,0.43916004678208487,0.0008575742614649393,0.016278171210874697,0.8112638815441565,0.8545198775006058
CID004703-1,0.3603712625263756,0.09302028856559974,0.03215861406895299,0.31676564192227485,0.1858953131130267,0.01178887980377009,0.9422619047619047,0.8377565047619534
CID004704-1,0.02152093464829071,0.052944592220858074,0.025680044634359814,0.7922892080554955,0.10680170482608127,0.0007635156149146153,0.851718509984639,0.7663090932571808
CID004705-1,0.21445908755086315,0.31086809932865045,0.040312521002439705,0.15173142793119754,0.2683164877605593,0.014312376426289863,0.9478913531637392,0.7662256099337927
CID004706-1,0.2439897440610487,0.3065053888881495,0.023196369394391743,0.175638599880324,0.2156514339508251,0.03501846382526106,0.9341575091575092,0.7808822616738785
CID004707-1,0.2627414082515132,0.28520987497948963,0.0005586121088999568,0.19075488526993042,0.2283072660497629,0.03242795334040388,0.9026969857218402,0.7665069616543678
CID004708-1,0.012897422231846485,0.2845248391534472,0.01707604262897494,0.12170634684298844,0.5536857409649588,0.010109608177784118,0.8460879856966583,0.7297646971088786
CID004709-1,0.011768440944302268,0.03552363759930753,0.030995013634473236,0.34783486030914157,0.573486144727484,0.0003919027852913886,0.9267953149001535,0.8119996861872624
CID004710-1,0.18264815729459913,0.24961611843321113,0.017107812572063275,0.26093222687157025,0.26784940342819086,0.021846281400365323,0.8822344322344322,0.8301359196842317
CID004711-1,0.21317143571927832,0.26829277394726153,0.06628907939706609,0.23521550465556745,0.18102299454258386,0.03600821173824265,0.8320054945054945,0.7846734791394236
CID004712-1,0.016225528856420805,0.26623265970293475,0.0031182902272898975,0.08079702177632203,0.5961049966280257,0.03752150280900682,0.8333333333333333,0.7001776413076464
CID004713-1,0.40533517650508083,0.30678507883875966,0.021284430749198613,0.18121725006564343,0.08310099356181008,0.002277070279507382,0.9089924706000857,0.8063014075304212
CID004714-1,0.14356635212092936,0.4681860563812121,0.011325674678256991,0.2637793605853466,0.10078702936742928,0.012355526866825565,0.8620421245421246,0.8520879509656406
CID004715-1,0.0010736951507877076,0.8184452337465952,0.0018311820499899998,0.17682699706967112,0.0011409566516052457,0.0006819353313507172,0.8738656987295824,0.7226488967748376
CID004716-1,0.009717660352217435,0.4804220515231341,0.04979516754602351,0.3812413576169677,0.07679006253194944,0.0020337004297077835,0.8428379416282642,0.7812227618985798
CID004717-1,0.0038836504611409065,0.41068077677921566,0.009759848550747569,0.18043596439202586,0.38495689898303376,0.01028286083383623,0.9120571126388154,0.8078061890686654
CID004718-1,0.044649009956409,0.9272147636988917,0.0028567486862647734,0.003818963262665753,0.02039409501041292,0.0010664193853558357,0.9395090590298071,0.7661118871281928
CID004719-1,0.00230238149770587,0.5225410703674797,0.0024281093286381695,0.3694595406436984,0.014958452798422025,0.08831044536405594,0.8993125330512957,0.7809368397080325
CID004720-2,0.31455599802362455,0.09733880027505307,0.00444803016842569,0.3384389261820446,0.2254615860772132,0.01975665927363891,0.9059981684981685,0.7702108535687782
CID004721-1,0.001093601446075001,0.2689770845529104,0.18992052237077142,0.1057573821447671,0.4137579203323149,0.020493489153161137,0.8847527472527472,0.7635446547443422
CID004722-1,0.030675576915047197,0.7419744824910784,0.014610004467032455,0.176795044322385,0.031919794219074676,0.004025097585382258,0.9076965823839955,0.7860020652843162
CID004723-1,0.0331904579902134,0.691624185075925,0.044823854387908445,0.2063797157895344,0.015937742695637133,0.00804404406078153,0.9314036098310291,0.8165607207559589
CID004724-1,0.0008431353641806125,0.564679419934131,0.002674486458744891,0.425584161827367,0.0043718501214393074,0.001846946294137231,0.8763088313061871,0.822146131449252
CID004725-1,0.2641920862995571,0.24824547151200896,0.009270547310585417,0.07367314181648119,0.40383594597131417,0.0007828070900530549,0.92742673992674,0.8248314400760285
CID004726-1,0.1484535401009653,0.2920142455302538,0.07715407635289306,0.18261790214725385,0.27778630014612754,0.02197393572250649,0.9293498168498169,0.8362921398273843
CID004727-1,0.190573102209099,0.39289616301101316,0.0007589173558645422,0.30086292627498135,0.08433708582422404,0.030571805324817906,0.8597365969126942,0.8113859296023094
CID004728-1,0.33672734280398137,0.3705945751383879,0.03463612079649366,0.0980906528395484,0.15648972545715956,0.0034615829644291662,0.9256432411674346,0.8305710429530938
CID004729-1,0.28918234705311363,0.30595310929655534,0.01129116979921969,0.2797652242963621,0.07426210661779956,0.0395460429369497,0.8881544156530936,0.7940648304299772
CID004730-1,0.1573807339235539,0.33662893741840916,0.055848190966394685,0.23449987168704384,0.19252319352208022,0.023119072482518255,0.8658306262748358,0.8176561598646939
CID004731-1,0.022936969597206397,0.11225773520837465,0.008545266370485343,0.11252770759259731,0.7426032704089752,0.001129050822361052,0.8720757472740551,0.7365486832794242
